y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
345.75,1383,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,2.6542,2.3,2.3,2.26,2.28,2.39,2.38,2.34,2.29,2.34,2.42,2.37,97.5,93.4,91.7,92.6,94.8,95.7,95,95,96.2,98.4,102.2,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1139779.61,1125163.575,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,1803.309832,1757.488633,1740.837859,1727.034128,1733.228446,38610,38383,33456,31917,30194,31584,28045,26042,25051,25207,24844
367,1468,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,2.17,2.3,2.3,2.26,2.28,2.39,2.38,2.34,2.29,2.34,2.42,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,95,96.2,101.7,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1139779.61,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,1803.309832,1757.488633,1740.837859,1727.034128,37952,38610,38383,33456,31917,30194,31584,28045,26042,25051,25207
370,1480,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.25,2.17,2.3,2.3,2.26,2.28,2.39,2.38,2.34,2.29,2.34,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,95,98.4,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,1803.309832,1757.488633,1740.837859,40363,37952,38610,38383,33456,31917,30194,31584,28045,26042,25051
344.25,1377,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.13,2.25,2.17,2.3,2.3,2.26,2.28,2.39,2.38,2.34,2.29,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,96.2,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,1803.309832,1757.488633,36530,40363,37952,38610,38383,33456,31917,30194,31584,28045,26042
350.25,1401,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.05,2.13,2.25,2.17,2.3,2.3,2.26,2.28,2.39,2.38,2.34,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95.7,95,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,1803.309832,36631,36530,40363,37952,38610,38383,33456,31917,30194,31584,28045
357,1428,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2,2.05,2.13,2.25,2.17,2.3,2.3,2.26,2.28,2.39,2.38,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,94.8,95,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1151992.698,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,1775.65502,37077,36631,36530,40363,37952,38610,38383,33456,31917,30194,31584
369,1476,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.02,2,2.05,2.13,2.25,2.17,2.3,2.3,2.26,2.28,2.39,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,92.6,95.7,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1151992.698,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,1843.962156,36232,37077,36631,36530,40363,37952,38610,38383,33456,31917,30194
364.75,1459,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,1.99,2.02,2,2.05,2.13,2.25,2.17,2.3,2.3,2.26,2.28,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,91.7,94.8,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,1151992.698,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,1867.253541,36449,36232,37077,36631,36530,40363,37952,38610,38383,33456,31917
352,1408,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,1.98,1.99,2.02,2,2.05,2.13,2.25,2.17,2.3,2.3,2.26,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,93.4,92.6,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,1151992.698,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,1829.360493,39263,36449,36232,37077,36631,36530,40363,37952,38610,38383,33456
296.25,1185,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,1.93,1.98,1.99,2.02,2,2.05,2.13,2.25,2.17,2.3,2.3,99.7,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,97.5,91.7,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1151992.698,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,1711.925758,41932,39263,36449,36232,37077,36631,36530,40363,37952,38610,38383
272.25,1089,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,1.9,1.93,1.98,1.99,2.02,2,2.05,2.13,2.25,2.17,2.3,99.1,99.7,99.7,102.5,99.6,101.3,98.6,98.3,104,100.4,93.4,1628068.228,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1249123.717,1981.876668,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,1661.147818,44474,41932,39263,36449,36232,37077,36631,36530,40363,37952,38610
264,1056,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,1.91,1.9,1.93,1.98,1.99,2.02,2,2.05,2.13,2.25,2.17,97.8,99.1,99.7,99.7,102.5,99.6,101.3,98.6,98.3,104,97.5,1450058.933,1628068.228,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1222452.954,1894.44862,1981.876668,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,1828.111797,44642,44474,41932,39263,36449,36232,37077,36631,36530,40363,37952
256.5,1026,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,1.93,1.91,1.9,1.93,1.98,1.99,2.02,2,2.05,2.13,2.25,104.7,97.8,99.1,99.7,99.7,102.5,99.6,101.3,98.6,98.3,100.4,1427301.032,1450058.933,1628068.228,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,1208518.099,1840.140601,1894.44862,1981.876668,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,1759.345088,43892,44642,44474,41932,39263,36449,36232,37077,36631,36530,40363
268.25,1073,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,1.86,1.93,1.91,1.9,1.93,1.98,1.99,2.02,2,2.05,2.13,108.8,104.7,97.8,99.1,99.7,99.7,102.5,99.6,101.3,98.6,104,1441299.117,1427301.032,1450058.933,1628068.228,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1239286.271,2031,1840.140601,1894.44862,1981.876668,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,1852.293783,45805,43892,44642,44474,41932,39263,36449,36232,37077,36631,36530
255.25,1021,2.0312,2.0879,2.0955,2.1377,2.1491,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,1.89,1.86,1.93,1.91,1.9,1.93,1.98,1.99,2.02,2,2.05,111.3,108.8,104.7,97.8,99.1,99.7,99.7,102.5,99.6,101.3,98.3,1446309.333,1441299.117,1427301.032,1450058.933,1628068.228,1427760.433,1367989.431,1354033.526,1291959.514,1265698.518,1253697.833,1987.493418,2031,1840.140601,1894.44862,1981.876668,2042.925025,2030.788059,1911.594904,1945.546962,1897.06162,1817.894098,48956,45805,43892,44642,44474,41932,39263,36449,36232,37077,36631
