"y1","y2","x1","x2","x3","x4","x5","x6","x7","x8"
"345.75","1383","2.1285","2.25","16.5","104","1274386.404","1855.23532","40.363","101.64974653344"
"367","1468","2.1773","2.13","15.75","98.3","1306743.975","1953.119144","36.53","101.75139627998"
"370","1480","2.2475","2.05","15.25","98.6","1322129.019","1917.121077","36.631","101.53771834779"
"344.25","1377","2.1885","2.00","15.25","101.3","1334617.378","2000.358987","37.077","101.73064001265"
"350.25","1401","2.1551","2.02","14.75","99.6","1362262.177","2051.414934","36.232","101.78150533266"
"357","1428","2.1679","1.99","14.25","102.5","1427509.909","2015.327254","36.449","101.99524649385"
"369","1476","2.1475","1.98","14.25","99.7","1441890.943","2140.495272","39.263","102.33183080728"
"364.75","1459","2.1571","1.93","13.75","99.7","1504551.983","2152.802969","41.932","102.64905948279"
"352","1408","2.1491","1.90","13.25","99.1","1715014.242","2087.717611","44.474","103.1417749683"
"296.25","1185","2.1377","1.91","13.25","97.8","1526965.729","1994.924518","44.642","103.59559877816"
"272.25","1089","2.0955","1.93","13","104.7","1502452.181","1937.028838","43.892","104.05141941279"
"264","1056","2.0879","1.86","13","108.8","1516700.675","2137.251757","45.805","104.43640966462"
"256.5","1026","2.0312","1.89","12.75","111.3","1521631.099","2090.999294","48.956","104.69750068878"
"268.25","1073","1.9808","1.84","12.5","110.5","1531806.036","2167.18243","52.268","104.99065369071"
"255.25","1021","1.9311","1.78","12.5","110.2","1587549.284","2129.450474","54.392","105.28462752104"
"242.25","969","1.882","1.69","12","113","1609566.73","2187.993977","54.183","105.53731062709"
"233.5","934","1.9652","1.73","11.5","113.2","1636095.398","2205.938329","54.637","106.03333598704"
"217.5","870","1.8988","1.73","11.5","114.5","1679276.292","2137.253174","60.465","106.22419599181"
"214","856","1.8002","1.72","11.25","114.8","1704298.49","2306.009809","65.318","106.54286857979"
"197","788","1.7691","1.70","11.25","111","1788812.566","2274.657879","63.006","106.94773148039"
"190.25","761","1.7852","1.68","11.25","109.1","2181891.453","2203.292969","63.886","107.73914469335"
"179.5","718","1.7735","1.76","11.25","107.3","1788561.676","2149.432127","59.49","108.32093607469"
