y1,y2,b10,b11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
345.75,1383,19.75,19.5,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1139779.6100,1125163.5750,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,28045.0000,26042.0000,25051.0000
367,1468,19.75,19.75,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1139779.6100,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,31584.0000,28045.0000,26042.0000
370,1480,19.75,19.75,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,30194.0000,31584.0000,28045.0000
344.25,1377,19.75,19.75,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,31917.0000,30194.0000,31584.0000
350.25,1401,19.5,19.75,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,33456.0000,31917.0000,30194.0000
357,1428,19,19.5,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,38383.0000,33456.0000,31917.0000
369,1476,18.5,19,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,38610.0000,38383.0000,33456.0000
364.75,1459,18,18.5,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,37952.0000,38610.0000,38383.0000
352,1408,17.25,18,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,40363.0000,37952.0000,38610.0000
296.25,1185,17.25,17.25,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,36530.0000,40363.0000,37952.0000
272.25,1089,16.5,17.25,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,36631.0000,36530.0000,40363.0000
264,1056,15.75,16.5,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,37077.0000,36631.0000,36530.0000
256.5,1026,15.25,15.75,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,1945.5470,36232.0000,37077.0000,36631.0000
268.25,1073,15.25,15.25,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,1911.5949,36449.0000,36232.0000,37077.0000
255.25,1021,14.75,15.25,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,2030.7881,39263.0000,36449.0000,36232.0000
242.25,969,14.25,14.75,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,2042.9250,41932.0000,39263.0000,36449.0000
233.5,934,14.25,14.25,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,1291959.5140,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,1981.8767,44474.0000,41932.0000,39263.0000
217.5,870,13.75,14.25,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,1354033.5260,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,1894.4486,44642.0000,44474.0000,41932.0000
214,856,13.25,13.75,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,1367989.4310,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,1840.1406,43892.0000,44642.0000,44474.0000
197,788,13.25,13.25,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,1427760.4330,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,2031.0000,45805.0000,43892.0000,44642.0000
190.25,761,13,13.25,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,1628068.2280,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,1987.4934,48956.0000,45805.0000,43892.0000
179.5,718,13,13,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,1450058.9330,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,2060.4356,52268.0000,48956.0000,45805.0000
